asciiname,lat,lon,country,admin_code,tz,population,country_name,region,sub_region
Faridpur,23.60612,89.84064,BD,81,Asia/Dhaka,112187,Bangladesh,Asia,Southern Asia
Dinajpur,25.62745,88.63779,BD,87,Asia/Dhaka,206234,Bangladesh,Asia,Southern Asia
Chittagong,22.3384,91.83168,BD,84,Asia/Dhaka,3920222,Bangladesh,Asia,Southern Asia
Satkania,22.07639,92.04955,BD,84,Asia/Dhaka,52005,Bangladesh,Asia,Southern Asia
Cox's Bazar,21.45388,91.96765,BD,84,Asia/Dhaka,253788,Bangladesh,Asia,Southern Asia
Khulna,22.80978,89.56439,BD,82,Asia/Dhaka,1342339,Bangladesh,Asia,Southern Asia
Bhola,22.68759,90.64403,BD,85,Asia/Dhaka,99079,Bangladesh,Asia,Southern Asia
Barisal,22.70497,90.37013,BD,85,Asia/Dhaka,202242,Bangladesh,Asia,Southern Asia
Jessore,23.16971,89.21371,BD,82,Asia/Dhaka,243987,Bangladesh,Asia,Southern Asia
Pabna,24.00644,89.2372,BD,83,Asia/Dhaka,186781,Bangladesh,Asia,Southern Asia
Tangail,24.24984,89.91655,BD,81,Asia/Dhaka,180144,Bangladesh,Asia,Southern Asia
Bogra,24.85098,89.37108,BD,83,Asia/Dhaka,210000,Bangladesh,Asia,Southern Asia
Nawabganj,24.59025,88.27444,BD,83,Asia/Dhaka,142361,Bangladesh,Asia,Southern Asia
Madaripur,23.17097,90.20935,BD,81,Asia/Dhaka,84789,Bangladesh,Asia,Southern Asia
Sherpur,25.01881,90.01751,BD,81,Asia/Dhaka,107419,Bangladesh,Asia,Southern Asia
Kishorganj,24.43944,90.78291,BD,81,Asia/Dhaka,90690,Bangladesh,Asia,Southern Asia
Saidpur,25.77769,88.89169,BD,83,Asia/Dhaka,199422,Bangladesh,Asia,Southern Asia
Verviers,50.58907,5.86241,BE,WAL,Europe/Brussels,52824,Belgium,Europe,Western Europe
Tournai,50.60715,3.38932,BE,WAL,Europe/Brussels,67721,Belgium,Europe,Western Europe
Sint-Niklaas,51.16509,4.1437,BE,VLG,Europe/Brussels,69010,Belgium,Europe,Western Europe
Seraing,50.58362,5.50115,BE,WAL,Europe/Brussels,60737,Belgium,Europe,Western Europe
Roeselare,50.94653,3.12269,BE,VLG,Europe/Brussels,56016,Belgium,Europe,Western Europe
Oostende,51.22339,2.91185,BE,VLG,Europe/Brussels,69011,Belgium,Europe,Western Europe
Namur,50.4669,4.86746,BE,WAL,Europe/Brussels,106284,Belgium,Europe,Western Europe
Mouscron,50.74497,3.20639,BE,WAL,Europe/Brussels,52069,Belgium,Europe,Western Europe
Mons,50.45413,3.95229,BE,WAL,Europe/Brussels,91277,Belgium,Europe,Western Europe
Mechelen,51.02574,4.47762,BE,VLG,Europe/Brussels,77530,Belgium,Europe,Western Europe
Liege,50.63373,5.56749,BE,WAL,Europe/Brussels,182597,Belgium,Europe,Western Europe
Leuven,50.87959,4.70093,BE,VLG,Europe/Brussels,92892,Belgium,Europe,Western Europe
La Louviere,50.48657,4.18785,BE,WAL,Europe/Brussels,76668,Belgium,Europe,Western Europe
